Game_Id,Game_Name,Tags,Month,Avg. Players,Gain,% Gain,Peak Players,Year,Rank,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
,,,4,,,,,2022,69.0,2658944.0,81120.0,221268.0,2343.0,28932.0,3698.0,112.0,32.78
,,,5,,,,,2022,154.0,973937.0,57400.0,25412.0,489.0,16949.0,1310.0,77.0,16.97
,,,7,,,,,2022,172.0,760266.0,59757.0,84097.0,409.0,16920.0,1023.0,80.0,12.72
,,,9,,,,,2022,156.0,941588.0,42914.0,62064.0,870.0,13073.0,1309.0,59.0,21.94
,,,10,,,,,2022,3.0,139453660.0,4110313.0,633993.0,12678.0,577877.0,187689.0,5532.0,33.93
,,,11,,,,,2022,7.0,47612487.0,2062043.0,227679.0,5768.0,333466.0,66220.0,2867.0,23.09
,,,12,,,,,2022,8.0,43060315.0,1594283.0,219889.0,4896.0,255319.0,57954.0,2145.0,27.01
,,,1,,,,,2023,14.0,25907337.0,1462748.0,94864.0,3597.0,235874.0,34868.0,1968.0,17.71
,,,2,,,,,2023,15.0,22775625.0,1291792.0,128739.0,4347.0,204235.0,33942.0,1925.0,17.63
,,,3,,,,,2023,18.0,18392034.0,1274943.0,68523.0,3045.0,196692.0,24753.0,1715.0,14.43
,,,4,,,,,2023,18.0,17075077.0,1357751.0,82560.0,4403.0,201349.0,23748.0,1888.0,12.58
,,,5,,,,,2023,20.0,16039529.0,1124283.0,58253.0,2782.0,170866.0,21587.0,1513.0,14.27
,,,6,,,,,2023,17.0,21932615.0,1007631.0,105884.0,2606.0,160574.0,30504.0,1401.0,21.77
,,,7,,,,,2023,19.0,17336732.0,1086625.0,88471.0,2450.0,166984.0,23333.0,1462.0,15.95
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",8,28327.17,-,-,75361.0,2023,16.0,20047870.0,1217643.0,119127.0,4546.0,181563.0,26982.0,1638.0,16.46
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",9,17863.41,-10463.77,-36.94%,33414.0,2023,21.0,15513950.0,1008027.0,54070.0,2386.0,149208.0,21577.0,1401.0,15.39
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",10,19301.44,1438.04,+8.05%,37788.0,2023,15.0,21419818.0,1075998.0,155942.0,3085.0,148929.0,28828.0,1448.0,19.91
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",11,20736.42,1434.97,+7.43%,38886.0,2023,15.0,19789688.0,1050621.0,248662.0,2494.0,149790.0,27523.0,1461.0,18.84
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",12,20742.67,6.26,+0.03%,38536.0,2023,18.0,19867187.0,1068431.0,70920.0,2957.0,145513.0,26739.0,1437.0,18.59
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",1,20152.53,-590.14,-2.85%,35307.0,2024,24.0,12718735.0,1039863.0,31954.0,2367.0,147949.0,17118.0,1399.0,12.23
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",2,24677.11,4524.58,+22.45%,41298.0,2024,14.0,21182608.0,1184373.0,117032.0,4626.0,157838.0,30478.0,1704.0,17.89
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",3,26580.34,1903.23,+7.71%,45666.0,2024,10.0,27922222.0,1172713.0,140380.0,4911.0,161248.0,37580.0,1578.0,23.81
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",4,29712.84,3132.50,+11.79%,60819.0,2024,12.0,22458205.0,1144351.0,120256.0,3657.0,155016.0,31235.0,1591.0,19.63
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",5,28625.86,-1086.98,-3.66%,51505.0,2024,19.0,16792830.0,1041401.0,116432.0,2360.0,144948.0,22601.0,1401.0,16.13
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",6,28194.72,-431.15,-1.51%,50230.0,2024,16.0,18348847.0,945390.0,112987.0,2572.0,133705.0,25519.0,1314.0,19.41
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",7,29393.58,1198.86,+4.25%,51648.0,2024,21.0,15977659.0,956246.0,119341.0,2632.0,137440.0,21504.0,1287.0,16.71
2357570.0,Overwatch 2,"Free to Play, Hero Shooter, Multiplayer, FPS, Team-Based, PvP, Shooter, First-Person, Dark Humor, Action, Competitive, Co-op, Dystopian, Sci-fi, Cinematic, PvE, Lore-Rich, Casual, MOBA, Controller",8,34632.44,5238.86,+17.82%,58937.0,2024,14.0,22049426.0,1048219.0,88788.0,3519.0,143727.0,29676.0,1410.0,21.04
