Game_Id,Game_Name,Tags,Month,Avg. Players,Gain,% Gain,Peak Players,Date,Hours_watched,Hours_streamed,Peak_viewers,Streamers
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Sep-24,836306.66,-61031.22,-6.80%,1473144,09/2024,56131901.0,834364.0,601330.0,110727.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Aug-24,897337.88,21972.8,2.51%,1425958,08/2024,62157945.0,866443.0,721256.0,116449.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jul-24,875365.08,-72155.45,-7.62%,1342171,07/2024,40393285.0,786387.0,607518.0,110517.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jun-24,947520.53,-10686.81,-1.12%,1510840,06/2024,43025111.0,761544.0,600631.0,109483.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",May-24,958207.34,27458.36,2.95%,1614925,05/2024,54980453.0,862006.0,312279.0,120394.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Apr-24,930748.98,45119.29,5.09%,1618685,04/2024,53930281.0,923907.0,274152.0,132652.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Mar-24,885629.69,98998.87,12.59%,1521796,03/2024,90657075.0,979017.0,1548040.0,143064.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Feb-24,786630.82,25771.59,3.39%,1347519,02/2024,65663958.0,955579.0,735109.0,137248.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jan-24,760859.23,-9235.58,-1.20%,1277907,01/2024,51869838.0,940786.0,301259.0,134995.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Dec-23,770094.8,55583.37,7.78%,1248217,12/2023,36856925.0,826665.0,295211.0,118676.0
