Topic,Probability
1,[3.92978178e-309 1.00000000e+000]
1,[0.03759564 0.96240436]
1,[3.9433624e-309 1.0000000e+000]
1,[0.04176512 0.95823488]
1,[1.0716793e-309 1.0000000e+000]
1,[0.04616891 0.95383109]
1,[0.04461335 0.95538665]
1,[0.02157982 0.97842018]
1,[1.09252003e-309 1.00000000e+000]
1,[0.03075774 0.96924226]
1,[0.04593847 0.95406153]
1,[0.06209093 0.93790907]
1,[0.04976719 0.95023281]
1,[1.08523006e-309 1.00000000e+000]
1,[0.00886012 0.99113988]
1,[0.02779734 0.97220266]
1,[0.0934563 0.9065437]
1,[0.01019868 0.98980132]
1,[1.09681634e-309 1.00000000e+000]
1,[0.09657715 0.90342285]
1,[1.07533783e-309 1.00000000e+000]
1,[0.0132115 0.9867885]
1,[0.0502236 0.9497764]
1,[1.11483389e-309 1.00000000e+000]
1,[0.10424558 0.89575442]
1,[0.15240766 0.84759234]
1,[0.05173203 0.94826797]
1,[3.91607844e-309 1.00000000e+000]
1,[0.12534148 0.87465852]
1,[0.02428204 0.97571796]
1,[0.01150495 0.98849505]
1,[0.14540665 0.85459335]
1,[0.04541973 0.95458027]
1,[1.06295973e-309 1.00000000e+000]
1,[0.02414271 0.97585729]
1,[0.00305407 0.99694593]
1,[0.04844522 0.95155478]
1,[1.07504729e-309 1.00000000e+000]
1,[0.05096356 0.94903644]
1,[0.0520732 0.9479268]
1,[0.05040112 0.94959888]
1,[0.03496796 0.96503204]
1,[0.00216701 0.99783299]
1,[0.00253244 0.99746756]
1,[1.09405358e-309 1.00000000e+000]
1,[0.05341299 0.94658701]
1,[0.02056961 0.97943039]
1,[3.8862154e-309 1.0000000e+000]
1,[0.02650662 0.97349338]
1,[0.09437855 0.90562145]
1,[9.79604364e-310 1.00000000e+000]
1,[0.03747423 0.96252577]
1,[0.0523885 0.9476115]
1,[0.02525455 0.97474545]
1,[0.04530076 0.95469924]
1,[0.01341108 0.98658892]
1,[0.02707852 0.97292148]
1,[0.02606058 0.97393942]
1,[1.11507209e-309 1.00000000e+000]
1,[0.03107299 0.96892701]
1,[0.04953266 0.95046734]
1,[0.04930276 0.95069724]
1,[0.03014413 0.96985587]
1,[0.06011284 0.93988716]
